============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	100.000
Batch Threshold:		100.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-100/2-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
28735: E[0:03:58]-R[0:02:56]: Return=-11.00, Steps=10, Features = 108
28850: E[0:03:59]-R[0:02:55]: Return=-60.00, Steps=28, Features = 108
29005: E[0:04:00]-R[0:02:54]: Return=-47.00, Steps=10, Features = 108
29165: E[0:04:01]-R[0:02:52]: Return=-63.00, Steps=14, Features = 108
29325: E[0:04:02]-R[0:02:51]: Return=28.00, Steps=10, Features = 108
29497: E[0:04:04]-R[0:02:49]: Return=-106.00, Steps=33, Features = 108
29649: E[0:04:05]-R[0:02:48]: Return=15.00, Steps=28, Features = 108
29805: E[0:04:06]-R[0:02:47]: Return=40.00, Steps=32, Features = 108
29923: E[0:04:07]-R[0:02:46]: Return=-178.00, Steps=78, Features = 108
30000 >>> E[0:04:08]-R[0:02:45]: Return=-81.00, Steps=17, Features = 108
30182: E[0:04:09]-R[0:02:43]: Return=-115.00, Steps=53, Features = 108
30274: E[0:04:10]-R[0:02:43]: Return=-12.00, Steps=10, Features = 108
30392: E[0:04:11]-R[0:02:42]: Return=-55.00, Steps=10, Features = 108
30526: E[0:04:12]-R[0:02:41]: Return=-67.00, Steps=40, Features = 108
30671: E[0:04:14]-R[0:02:40]: Return=-65.00, Steps=27, Features = 108
30802: E[0:04:15]-R[0:02:39]: Return=-63.00, Steps=26, Features = 108
30984: E[0:04:16]-R[0:02:37]: Return=-129.00, Steps=48, Features = 108
31116: E[0:04:17]-R[0:02:36]: Return=-115.00, Steps=34, Features = 108
31226: E[0:04:19]-R[0:02:35]: Return=-36.00, Steps=11, Features = 108
31388: E[0:04:20]-R[0:02:34]: Return=-97.00, Steps=24, Features = 109
31504: E[0:04:21]-R[0:02:33]: Return=-69.00, Steps=22, Features = 109
31667: E[0:04:22]-R[0:02:32]: Return=69.00, Steps=14, Features = 109
31818: E[0:04:23]-R[0:02:30]: Return=-43.00, Steps=20, Features = 109
31991: E[0:04:24]-R[0:02:29]: Return=-112.00, Steps=56, Features = 110
32128: E[0:04:25]-R[0:02:28]: Return=-66.00, Steps=10, Features = 111
32282: E[0:04:26]-R[0:02:26]: Return=-49.00, Steps=30, Features = 111
32371: E[0:04:27]-R[0:02:26]: Return=-75.00, Steps=42, Features = 111
32523: E[0:04:29]-R[0:02:24]: Return=0.00, Steps=11, Features = 111
32661: E[0:04:30]-R[0:02:23]: Return=-83.00, Steps=16, Features = 113
32804: E[0:04:31]-R[0:02:22]: Return=-15.00, Steps=10, Features = 113
32913: E[0:04:32]-R[0:02:21]: Return=-34.00, Steps=12, Features = 113
33056: E[0:04:33]-R[0:02:20]: Return=-14.00, Steps=10, Features = 113
33179: E[0:04:34]-R[0:02:19]: Return=-89.00, Steps=29, Features = 113
33335: E[0:04:35]-R[0:02:17]: Return=-58.00, Steps=11, Features = 113
33483: E[0:04:36]-R[0:02:16]: Return=-85.00, Steps=28, Features = 113
33680: E[0:04:37]-R[0:02:14]: Return=-130.00, Steps=84, Features = 113
33843: E[0:04:38]-R[0:02:13]: Return=-168.00, Steps=82, Features = 113
33974: E[0:04:40]-R[0:02:12]: Return=-24.00, Steps=15, Features = 113
34203: E[0:04:41]-R[0:02:10]: Return=-50.00, Steps=171, Features = 113
34304: E[0:04:42]-R[0:02:09]: Return=-68.00, Steps=20, Features = 113
34425: E[0:04:44]-R[0:02:08]: Return=9.00, Steps=27, Features = 113
34550: E[0:04:45]-R[0:02:07]: Return=-78.00, Steps=14, Features = 113
34643: E[0:04:46]-R[0:02:07]: Return=-89.00, Steps=27, Features = 113
34725: E[0:04:47]-R[0:02:06]: Return=-74.00, Steps=10, Features = 113
34888: E[0:04:48]-R[0:02:05]: Return=-115.00, Steps=34, Features = 113
35061: E[0:04:49]-R[0:02:03]: Return=-31.00, Steps=43, Features = 113
35215: E[0:04:50]-R[0:02:02]: Return=23.00, Steps=11, Features = 113
35398: E[0:04:51]-R[0:02:00]: Return=-87.00, Steps=33, Features = 113
35573: E[0:04:53]-R[0:01:59]: Return=-61.00, Steps=37, Features = 114
35713: E[0:04:54]-R[0:01:58]: Return=-63.00, Steps=46, Features = 114
35830: E[0:04:55]-R[0:01:57]: Return=-112.00, Steps=57, Features = 114
35939: E[0:04:56]-R[0:01:56]: Return=-74.00, Steps=13, Features = 115
36043: E[0:04:57]-R[0:01:55]: Return=-75.00, Steps=10, Features = 115
36192: E[0:04:58]-R[0:01:54]: Return=-43.00, Steps=68, Features = 115
36328: E[0:04:59]-R[0:01:53]: Return=-19.00, Steps=32, Features = 116
36437: E[0:05:01]-R[0:01:52]: Return=12.00, Steps=24, Features = 116
36558: E[0:05:02]-R[0:01:51]: Return=-69.00, Steps=20, Features = 116
36646: E[0:05:03]-R[0:01:50]: Return=-71.00, Steps=11, Features = 116
36798: E[0:05:04]-R[0:01:49]: Return=-32.00, Steps=31, Features = 116
36894: E[0:05:05]-R[0:01:48]: Return=-33.00, Steps=10, Features = 117
37049: E[0:05:06]-R[0:01:47]: Return=-30.00, Steps=68, Features = 117
37206: E[0:05:07]-R[0:01:46]: Return=-51.00, Steps=20, Features = 117
37312: E[0:05:08]-R[0:01:45]: Return=-66.00, Steps=17, Features = 117
37437: E[0:05:09]-R[0:01:44]: Return=-18.00, Steps=52, Features = 117
