============================================================
Domain:		PST
Dimensions:	12
|S|:		5451776
|A|:		27
|S|x|A|:		147197952
Episode Cap:	1000
Gamma:		0.9
NUM_UAV:		3
============================================================
Representation:		IndependentDiscretizationCompactBinary
Features per action:	52
Binary Dimensions:	[ 6  7  8  9 10 11]
============================================================
Representation:		iFDD
Features per action:	52
Initial Representation:	IndependentDiscretizationCompactBinary
Plus:			1
Sparsify:		1
Cached:			1
Online Threshold:	100.000
Batch Threshold:		100.000
Max Batch Discovery:	20
============================================================
Agent:		SARSA
Policy:		eGreedy
Alpha_0:		0.10
============================================================
Experiment:		OnlineExperiment
Output:			Results/13ICML-BatchiFDD/PST/PST-iFDD-50000-100/5-results.txt
Learning Steps:		50000
Performance Checks:	5
Log Intervals:		1(s)
38477: E[0:05:15]-R[0:01:34]: Return=-68.00, Steps=17, Features = 110
38657: E[0:05:17]-R[0:01:33]: Return=-117.00, Steps=42, Features = 110
38792: E[0:05:18]-R[0:01:32]: Return=-33.00, Steps=10, Features = 110
38936: E[0:05:19]-R[0:01:31]: Return=-50.00, Steps=44, Features = 111
39050: E[0:05:20]-R[0:01:30]: Return=-81.00, Steps=19, Features = 111
39246: E[0:05:22]-R[0:01:28]: Return=-92.00, Steps=65, Features = 111
39435: E[0:05:23]-R[0:01:27]: Return=-39.00, Steps=50, Features = 111
39590: E[0:05:24]-R[0:01:25]: Return=-116.00, Steps=35, Features = 111
39779: E[0:05:25]-R[0:01:24]: Return=-74.00, Steps=54, Features = 111
39989: E[0:05:27]-R[0:01:22]: Return=50.00, Steps=60, Features = 111
40000 >>> E[0:05:27]-R[0:01:22]: Return=-57.00, Steps=12, Features = 111
40157: E[0:05:28]-R[0:01:20]: Return=-69.00, Steps=19, Features = 111
40288: E[0:05:29]-R[0:01:19]: Return=-128.00, Steps=53, Features = 111
40491: E[0:05:31]-R[0:01:18]: Return=-117.00, Steps=65, Features = 111
